,station,lat,lon,pandemic,average_bike_usage,sem_bike_usage
302,Mount Street Lower,53.337959,-6.24153,pre-pandemic,67.10841435633489,0.07869343468000477
303,Mount Street Lower,53.338,-6.24153,pandemic,63.410353535353536,0.11951758145020842
304,Mount Street Lower,53.338,-6.24153,post-pandemic,68.78647302097573,0.062331805659413396
305,Mountjoy Square East,53.3567,-6.25636,pandemic,66.78399378399378,0.12740115928839704
306,Mountjoy Square East,53.3567,-6.25636,post-pandemic,71.7996693761047,0.07974297921124705
307,Mountjoy Square East,53.356716,-6.256359,pandemic,65.98427106615854,0.04999318045504721
308,Mountjoy Square East,53.356716,-6.256359,pre-pandemic,66.81381761194417,0.08287200006881332
309,Mountjoy Square West,53.3563,-6.25859,pandemic,55.38681688681689,0.136377683854479
310,Mountjoy Square West,53.3563,-6.25859,post-pandemic,61.52859210277941,0.06133094570437264
311,Mountjoy Square West,53.3563,-6.258586,pandemic,56.877203905172365,0.05506075283874536
312,Mountjoy Square West,53.3563,-6.258586,pre-pandemic,63.322646029113685,0.07901433449539164
313,New Central Bank,53.3471,-6.23475,pandemic,62.83051670551671,0.13715221224299223
